"key","en","en"
"AdventurersGuild.Prestige 0 rank 0","&8Commoner - disables elites!","&8Commoner - desactiva las élites!"
"AdventurersGuild.Prestige 0 rank 0 short placeholder","&6&l✧&e0","&6&l&e0&e0"
"AdventurersGuild.Prestige 0 rank 1","&fRookie","&fPrincipiante"
"AdventurersGuild.Prestige 0 rank 1 short placeholder","&6&l✧&eⅠ","&6&l&eI"
"AdventurersGuild.Prestige 0 rank 10","&5Hero","&5Héroe"
"AdventurersGuild.Prestige 0 rank 10 short placeholder","&6&l✧&eⅩ","&6&l✧&eⅩ"
"AdventurersGuild.Prestige 0 rank 2","&fNovice","&fNovato"
"AdventurersGuild.Prestige 0 rank 2 short placeholder","&6&l✧&eⅠⅠ","&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 0 rank 3","&fApprentice","&fAprendiz"
"AdventurersGuild.Prestige 0 rank 3 short placeholder","&6&l✧&eⅠⅠⅠ","&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 0 rank 4","&2Adventurer","&2Aventurero"
"AdventurersGuild.Prestige 0 rank 4 short placeholder","&6&l✧&eⅠⅤ","&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 0 rank 5","&2Journeyman","&2Viajero"
"AdventurersGuild.Prestige 0 rank 5 short placeholder","&6&l✧&eⅤ","&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 0 rank 6","&2Adept","&2Adepto"
"AdventurersGuild.Prestige 0 rank 6 short placeholder","&6&l✧&eⅤⅠ","&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 0 rank 7","&1Veteran","&1Veterano"
"AdventurersGuild.Prestige 0 rank 7 short placeholder","&6&l✧&eⅤⅠⅠ","&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 0 rank 8","&1Elite","&1Élite"
"AdventurersGuild.Prestige 0 rank 8 short placeholder","&6&l✧&eⅤⅠⅠⅠ","&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 0 rank 9","&lMaster","&lMaestro"
"AdventurersGuild.Prestige 0 rank 9 short placeholder","&6&l✧&eⅠⅩ","&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 1 rank 0","&ePrestige 1 &8Commoner","&ePrestigio 1 &8Plebeyo"
"AdventurersGuild.Prestige 1 rank 0 short placeholder","&e⚜Ⅰ&6&l✧&e0","&e⚜Ⅰ&6&l✧&e0"
"AdventurersGuild.Prestige 1 rank 1","&ePrestige 1 &fRookie","&ePrestigio 1 &fPrincipiante"
"AdventurersGuild.Prestige 1 rank 1 short placeholder","&e⚜Ⅰ&6&l✧&eⅠ","&e⚜Ⅰ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 1 rank 10","&ePrestige 1 &5Hero","&ePrestigio 1 &5Héroe"
"AdventurersGuild.Prestige 1 rank 10 short placeholder","&e⚜Ⅰ&6&l✧&eⅩ","&e⚜Ⅰ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 1 rank 11","&ePrestige 1 &5Legend","&ePrestigio 1 &5Legend"
"AdventurersGuild.Prestige 1 rank 11 short placeholder","&e⚜Ⅰ&6&l✧&eⅩⅠ","&e⚜Ⅰ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 1 rank 2","&ePrestige 1 &fNovice","&ePrestigio 1 &fNovato"
"AdventurersGuild.Prestige 1 rank 2 short placeholder","&e⚜Ⅰ&6&l✧&eⅠⅠ","&e⚜Ⅰ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 1 rank 3","&ePrestige 1 &fApprentice","&ePrestigio 1 &fAprendiz"
"AdventurersGuild.Prestige 1 rank 3 short placeholder","&e⚜Ⅰ&6&l✧&eⅠⅠⅠ","&e⚜Ⅰ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 1 rank 4","&ePrestige 1 &2Adventurer","&ePrestigio 1 &2Aventurero"
"AdventurersGuild.Prestige 1 rank 4 short placeholder","&e⚜Ⅰ&6&l✧&eⅠⅤ","&e⚜Ⅰ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 1 rank 5","&ePrestige 1 &2Journeyman","&ePrestigio 1 &2Viajero"
"AdventurersGuild.Prestige 1 rank 5 short placeholder","&e⚜Ⅰ&6&l✧&eⅤ","&e⚜Ⅰ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 1 rank 6","&ePrestige 1 &2Adept","&ePrestigio 1 &2Adepto"
"AdventurersGuild.Prestige 1 rank 6 short placeholder","&e⚜Ⅰ&6&l✧&eⅤⅠ","&e⚜Ⅰ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 1 rank 7","&ePrestige 1 &1Veteran","&ePrestigio 1 &1Veterano"
